WMC,class_BC,chemin,class,classe_LOC,classe_CLOC,classe_DC
225,0.0021900161030595816,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\RectangleInsets.java,RectangleInsets,483,238,0.4927536231884058
16,0.051305970149253734,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\Rotation.java,Rotation ,67,55,0.8208955223880597
14,0.0633116883116883,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\SortOrder.java,SortOrder ,44,39,0.8863636363636364
15,0.05909090909090909,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\TableOrder.java,TableOrder ,44,39,0.8863636363636364
13,0.06818181818181818,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\UnitType.java,UnitType ,44,39,0.8863636363636364
15,0.058333333333333334,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\VerticalAlignment.java,VerticalAlignment ,48,42,0.875
23,0.03855619360131255,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\api\XYCoordinateType.java,XYCoordinateType ,53,47,0.8867924528301887
877,5.552784112504752E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\Axis.java,Axis,1536,748,0.4869791666666667
46,0.013351591920575145,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\AxisCollection.java,AxisCollection ,127,78,0.6141732283464567
13,0.06710310965630115,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\AxisLabelLocation.java,AxisLabelLocation ,47,41,0.8723404255319149
